time,delta_T,dt,num_li,num_nli,temp_1,temp_2
0,0,0,0,0,0,0
50000000000,4.9614583087666,50000000000,4,4,24.923823731208,29.885282039975
100000000000,4.9947055500096,50000000000,3,3,25.012189510172,30.006895060182
150000000000,5.3520949915526,50000000000,4,4,25.729105466954,31.081200458506
200000000000,7.3983939511521,50000000000,5,5,31.944572231711,39.342966182863
250000000000,9.9841373659941,50000000000,6,6,58.919903085106,68.9040404511
300000000000,10.054424388078,50000000000,8,8,94.042314452194,104.09673884027
350000000000,9.2714538808744,50000000000,6,6,116.49766712293,125.76912100381
400000000000,8.6001667355924,50000000000,8,8,122.53494478992,131.13511152551
